country,iso2c,iso3c,year,gdp_pc_ppp,region,income
Afghanistan,AF,AFG,2021,2144.16657002819,South Asia,Low income
Afghanistan,AF,AFG,2017,2335.79586234454,South Asia,Low income
Afghanistan,AF,AFG,2020,2561.98176058622,South Asia,Low income
Afghanistan,AF,AFG,2018,2432.27670083336,South Asia,Low income
Afghanistan,AF,AFG,2013,2133.2412709864702,South Asia,Low income
Afghanistan,AF,AFG,2012,1988.42930381554,South Asia,Low income
Afghanistan,AF,AFG,2019,2583.48533239877,South Asia,Low income
Afghanistan,AF,AFG,2014,2224.49074815215,South Asia,Low income
Afghanistan,AF,AFG,2022,2122.99581512663,South Asia,Low income
Afghanistan,AF,AFG,2008,1333.74726661897,South Asia,Low income
Afghanistan,AF,AFG,2007,1286.94984312675,South Asia,Low income
Afghanistan,AF,AFG,2006,1121.83447077749,South Asia,Low income
Afghanistan,AF,AFG,2005,1076.08735260871,South Asia,Low income
Afghanistan,AF,AFG,2004,971.633503046666,South Asia,Low income
Afghanistan,AF,AFG,2016,2213.1814410479,South Asia,Low income
Afghanistan,AF,AFG,2015,2284.07584789349,South Asia,Low income
Afghanistan,AF,AFG,2001,747.688045492413,South Asia,Low income
Afghanistan,AF,AFG,2000,813.550255989624,South Asia,Low income
Afghanistan,AF,AFG,1999,NA,South Asia,Low income
Afghanistan,AF,AFG,2011,1744.06062321558,South Asia,Low income
Afghanistan,AF,AFG,2010,1765.53802830615,South Asia,Low income
Afghanistan,AF,AFG,2009,1570.69814517949,South Asia,Low income
Afghanistan,AF,AFG,1995,NA,South Asia,Low income
Afghanistan,AF,AFG,1994,NA,South Asia,Low income
Afghanistan,AF,AFG,1993,NA,South Asia,Low income
Afghanistan,AF,AFG,1992,NA,South Asia,Low income
Afghanistan,AF,AFG,1991,NA,South Asia,Low income
Afghanistan,AF,AFG,2003,966.962032055781,South Asia,Low income
Afghanistan,AF,AFG,2002,926.507941011646,South Asia,Low income
Afghanistan,AF,AFG,1987,NA,South Asia,Low income
Afghanistan,AF,AFG,1986,NA,South Asia,Low income
Afghanistan,AF,AFG,1985,NA,South Asia,Low income
Afghanistan,AF,AFG,1998,NA,South Asia,Low income
Afghanistan,AF,AFG,1997,NA,South Asia,Low income
Afghanistan,AF,AFG,1996,NA,South Asia,Low income
Afghanistan,AF,AFG,1982,NA,South Asia,Low income
Afghanistan,AF,AFG,1981,NA,South Asia,Low income
Afghanistan,AF,AFG,1980,NA,South Asia,Low income
Afghanistan,AF,AFG,1989,NA,South Asia,Low income
Afghanistan,AF,AFG,1988,NA,South Asia,Low income
Afghanistan,AF,AFG,1983,NA,South Asia,Low income
Afghanistan,AF,AFG,1990,NA,South Asia,Low income
Afghanistan,AF,AFG,1984,NA,South Asia,Low income
Africa Eastern and Southern,ZH,AFE,2003,2308.46750321399,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2017,3703.97771049629,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2016,3551.14627928128,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2004,2439.22939353385,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2006,2786.10147365737,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2020,3629.5669779747,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2013,3291.01157257418,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1990,1805.53616194781,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2018,3648.26133239471,Aggregates,Aggregates
