country,iso2c,iso3c,year,AG.YLD.CREL.KG,status,lastupdated,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2021,2099.1,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2017,2091.4,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2020,2050.8,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2018,2253.2,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,2127.7,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,2094.2,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2019,2184.7,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,2096.6,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2022,2193.4,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,1455.4,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,1915.3,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,1551.7,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,1790.4,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,1334.8,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2016,2043.3,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,2206.4,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,1006.7,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,806.3,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,1285.7,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,1659.9,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,2011.1,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,2040.7,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,1214.5,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1994,1140.4,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1993,1132.9,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1992,1097.8,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1991,1160.4,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,1458,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,1669.8,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1987,1359.8,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1986,1314,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1985,1331.7,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,1388,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,1348.8,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,1204.4,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1982,1330.2,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1981,1338.3,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1980,1349,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1989,1237.6,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1988,1285.7,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1983,1355.6,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1990,1200.6,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1984,1334.1,,2025-12-04,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Africa Eastern and Southern,ZH,AFE,2003,1150.17664726413,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2017,1771.17582816425,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2016,1510.04271128901,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2004,1296.29916803565,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2006,1296.39882577905,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2020,1864.02845935817,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2013,1539.11147394672,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1990,1251.49053367813,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2018,1737.64345754504,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2005,1173.85486541931,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1991,1219.21293817832,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2007,1324.80676668571,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1994,1156.53145230904,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2015,1639.94386972544,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1992,904.200467213832,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2021,1923.42231168138,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2022,1841.85848775724,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1998,1144.43663517567,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,1653.29581276937,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1996,1266.61396309277,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1995,1025.91734605461,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1983,1011.53045791681,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1993,1259.08314370256,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2019,1727.18153065616,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1980,1249.28295303131,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2012,1653.47224836087,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2011,1492.89098967707,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2002,1264.69162869925,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2001,1262.44816628487,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2008,1348.04024989905,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1984,955.822902331468,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1997,1127.27004999434,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2009,1425.67546029085,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1981,1424.37335896266,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2000,1292.87154366264,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1999,1194.4695282228,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1982,1174.40141916625,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1986,1131.54761824297,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1985,1128.29461508912,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1988,1175.47809657344,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1989,1289.92909438278,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2010,1553.393335431,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1987,1115.32965358281,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2021,1323.35277110564,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2009,1192.11635920244,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2013,1113.23227175217,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2018,1344.82613051624,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2010,1184.28883872261,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1995,962.06412776744,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2012,1187.66208308418,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2011,1061.26749960238,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2014,1226.52274059071,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1999,1032.25459490529,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2020,1368.25679474563,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2019,1369.21827674214,,2025-12-04,Aggregates,,,,Aggregates,Aggregates
